pfam,feature_importance_vals
PF11433.6,0.0
PF11434.6,0.0
PF11435.6,0.0
PF11436.6,0.0
PF11437.6,0.0
PF11408.6,0.0
PF11406.6,0.0
PF11374.6,0.0
PF11389.6,0.0
PF11376.6,0.0
PF11377.6,0.0
PF11378.6,0.0
PF11379.6,0.0
PF11380.6,0.0
PF11381.6,0.0
PF11382.6,0.0
PF11383.6,0.0
PF11384.6,0.0
PF11385.6,0.0
PF11386.6,0.0
PF11387.6,0.0
PF11388.6,0.0
PF11390.6,0.0
PF11405.6,0.0
PF11391.6,0.0
PF11392.6,0.0
PF11393.6,0.0
PF11394.6,0.0
PF11395.6,0.0
PF11396.6,0.0
PF11397.6,0.0
PF11398.6,0.0
PF11399.6,0.0
PF11401.6,0.0
PF11402.6,0.0
PF11403.6,0.0
PF11404.6,0.0
PF11438.6,0.0
PF11439.6,0.0
PF11440.6,0.0
PF11489.6,0.0
PF11474.6,0.0
PF11475.6,0.0
PF11476.6,0.0
PF11477.6,0.0
PF11478.6,0.0
PF11479.6,0.0
PF11480.6,0.0
PF11482.6,0.0
PF11483.6,0.0
PF11485.6,0.0
PF11486.6,0.0
PF11487.6,0.0
PF11488.6,0.0
PF11490.6,0.0
PF11441.6,0.0
PF11491.6,0.0
PF11492.6,0.0
PF11493.6,0.0
PF11494.6,0.0
PF11495.6,0.0
PF11496.6,0.0
PF12012.6,0.0
PF11498.6,0.0
PF11500.6,0.0
PF11501.6,0.0
PF11502.6,0.0
PF11503.6,0.0
PF11504.6,0.0
PF11473.6,0.0
PF11472.6,0.0
PF11471.6,0.0
PF11470.6,0.0
PF11442.6,0.0
PF11443.6,0.0
PF11444.6,0.0
PF11445.6,0.0
PF11446.6,0.0
PF11447.6,0.0
PF11448.6,0.0
PF11449.6,0.0
PF11450.6,0.0
PF11452.6,0.0
PF11453.6,0.0
PF11454.6,0.0
PF11455.6,0.0
PF11456.6,0.0
PF11457.6,0.0
PF11458.6,0.0
PF11459.6,0.0
PF11460.6,0.0
PF11461.6,0.0
PF11462.6,0.0
PF11463.6,0.0
PF11464.6,0.0
PF11465.6,0.0
PF11466.6,0.0
PF11467.6,0.0
PF11468.6,0.0
PF11469.6,0.0
PF11375.6,0.0
PF11373.6,0.0
PF11245.6,0.0
PF11292.6,0.0
PF11279.6,0.0
PF11280.6,0.0
PF11281.6,0.0
PF11282.6,0.0
PF11283.6,0.0
PF11284.6,0.0
PF11285.6,0.0
PF11286.6,0.0
PF11287.6,0.0
PF11288.6,0.0
PF11289.6,0.0
PF11290.6,0.0
PF11291.6,0.0
PF11293.6,0.0
PF11277.6,0.0
PF11294.6,0.0
PF11295.6,0.0
PF11296.6,0.0
PF11297.6,0.0
PF11298.6,0.0
PF11299.6,0.0
PF11300.6,0.0
PF11301.6,0.0
PF11302.6,0.0
PF11303.6,0.0
PF11304.6,0.0
PF11305.6,0.0
PF11306.6,0.0
PF11278.6,0.0
PF11276.6,0.0
PF11372.6,0.0
PF11260.6,0.0
PF11246.6,0.0
PF11247.6,0.0
PF11248.6,0.0
PF11249.6,0.0
PF11250.6,0.0
PF11251.6,0.0
PF11252.6,0.0
PF11253.6,0.0
PF11254.6,0.0
PF11255.6,0.0
PF11256.6,0.0
